comment,clean_comment,label,platform,timestamp
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,TikTok,2026-04-17 05:01:03
"Bintang 5 pokoknya, scarlett emang gak pernah gagal.","bintang 5 pokoknya, scarlett emang gak pernah gagal.",positif,TikTok,2026-04-17 10:59:03
ko kita kan kaka nya mau,ko kita kan kaka nya mau,netral,X (Twitter),2026-04-09 10:51:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,TikTok,2026-04-08 22:57:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-04-15 15:57:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-04-10 23:28:03
udah kak,udah kak,netral,TikTok,2026-04-14 13:05:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,Instagram,2026-04-20 04:22:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,TikTok,2026-03-26 00:07:03
kak blainok labubu dong kak,kak blainok labubu dong kak,netral,TikTok,2026-04-17 09:15:03
"Denn apaan sih ini? gak lu bangettttt, please lahhhh",denn apaan sih ini gak lu bangettttt please lahhhh,netral,TikTok,2026-03-20 19:12:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-04-15 21:11:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,TikTok,2026-03-22 11:42:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,TikTok,2026-04-05 10:36:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,X (Twitter),2026-04-03 16:21:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,X (Twitter),2026-04-01 19:57:03
kak itu gelowing banget,kak itu gelowing banget,netral,TikTok,2026-04-03 11:22:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,Instagram,2026-03-27 07:31:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,Instagram,2026-04-05 19:06:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-04-07 08:41:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,X (Twitter),2026-03-22 01:26:03
untung nggak pakai merkuri itu,untung nggak pakai merkuri itu,netral,X (Twitter),2026-04-09 02:33:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,TikTok,2026-04-17 12:41:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-04-03 13:49:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,Instagram,2026-03-22 09:52:03
"Bintang 5 pokoknya, scarlett emang gak pernah gagal.","bintang 5 pokoknya, scarlett emang gak pernah gagal.",positif,Instagram,2026-03-30 08:08:03
brntusan gradakan sran dong ka,brntusan gradakan sran dong ka,netral,TikTok,2026-04-07 03:51:03
Katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,negatif,Instagram,2026-04-04 20:14:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,X (Twitter),2026-03-31 10:55:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,Instagram,2026-04-05 05:17:03
"Wajar Indonesia pangsa pasarnya karena masih ikutan doktrin kalo cantik itu harus kulit putih 
Dan yg kulit sawomatang, hitam jadi kebawa arus harus make biar putih glowing kulitnya .
Gimana mau putih kalo warna kulit aja udah coklat 
Kecuali mau suntik pemutih 
Ya bisa tapi efek resikonya juga ga tanggung2.","wajar indonesia pangsa pasarnya karena masih ikutan doktrin kalo cantik itu harus kulit putih 
dan yg kulit sawomatang hitam jadi kebawa arus harus make biar putih glowing kulitnya 
gimana mau putih kalo warna kulit aja udah coklat 
kecuali mau suntik pemutih 
ya bisa tapi efek resikonya juga ga tanggung2",netral,TikTok,2026-04-12 18:17:03
kak aku punya itu aku dikasih sama kk sepupu ku aku pas cium bau nya kayak bau jaranan ,kak aku punya itu aku dikasih sama kk sepupu ku aku pas cium bau nya kayak bau jaranan ,netral,TikTok,2026-04-19 19:02:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,Instagram,2026-03-27 09:37:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,X (Twitter),2026-03-23 15:14:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,Instagram,2026-04-07 05:25:03
"kakamesikocati






 happy bday   
 



love you mom




 
　 
  
             
      happy     
   valentine     
                 
         
     
     ","kakamesikocati






 happy bday   
 



love you mom




 
　 
  
             
      happy     
   valentine     
                 
         
     
     ",positif,Instagram,2026-04-08 15:03:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,TikTok,2026-04-12 09:11:03
kak kak ku juga punya kayak gitu kayak punyanya kak meisssi,kak kak ku juga punya kayak gitu kayak punyanya kak meisssi,netral,X (Twitter),2026-03-29 15:16:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,X (Twitter),2026-04-09 13:39:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-04-12 13:03:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,Instagram,2026-03-23 04:52:03
"Ya harus dong ada penjelasan,percuma ngasih tahu masalahnya klo ga ada penyelesaiannya.",ya harus dong ada penjelasanpercuma ngasih tahu masalahnya klo ga ada penyelesaiannya,netral,Instagram,2026-04-10 08:16:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,TikTok,2026-04-04 11:01:03
Dok davina skincer,dok davina skincer,netral,Instagram,2026-04-13 15:15:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,TikTok,2026-03-31 09:02:03
semoga berhasil,semoga berhasil,netral,TikTok,2026-04-14 03:58:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,Instagram,2026-03-31 19:25:03
bagus amatt,bagus amatt,positif,TikTok,2026-03-27 15:26:03
ya tuh,ya tuh,netral,Instagram,2026-03-28 12:18:03
Out fit doktif kyk thn 90 an😂,out fit doktif kyk thn 90 an,netral,X (Twitter),2026-04-19 10:49:03
Terima kasih ka sehat dan bahagia.penjelasannya mantap❤,terima kasih ka sehat dan bahagiapenjelasannya mantap,positif,TikTok,2026-04-06 10:13:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-03-22 22:48:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,X (Twitter),2026-03-31 04:12:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,TikTok,2026-03-31 08:13:03
"HIDUP itu INDAH,JIKA ⚡⚡petir 500x Pecahh💢.. PU L AU 7 7 7solusinya",hidup itu indahjika petir 500x pecahh pu l au 7 7 7solusinya,netral,TikTok,2026-03-27 13:06:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,TikTok,2026-04-02 09:54:03
"siapa yang ngeliat 2026           


 gak maksa kokk hihii","siapa yang ngeliat 2026           


 gak maksa kokk hihii",netral,X (Twitter),2026-04-14 09:10:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,X (Twitter),2026-04-01 17:54:03
"Kadang netizen cuma pengen klarifikasi jelas, bukan sindiran sana sini",kadang netizen cuma pengen klarifikasi jelas bukan sindiran sana sini,netral,X (Twitter),2026-04-05 19:52:03
"Setuju. 
Klo skarang trendnya double cleansing. Yg dokter spesialis kulit  gw bilang not for everybody, terutama di Indonesia yg tropis dan orang dgn make up minimalis. Bentar lagi trend itu juga bakalan mati. Skincare tu sifatnya individual kayak kamu bilang","setuju 
klo skarang trendnya double cleansing yg dokter spesialis kulit  gw bilang not for everybody terutama di indonesia yg tropis dan orang dgn make up minimalis bentar lagi trend itu juga bakalan mati skincare tu sifatnya individual kayak kamu bilang",netral,TikTok,2026-04-20 00:43:03
"dokter, tolong cek WBS cosmetics dong, yang lagi viral di lombok🙏",dokter tolong cek wbs cosmetics dong yang lagi viral di lombok,netral,Instagram,2026-03-20 16:22:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,Instagram,2026-04-02 12:54:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,X (Twitter),2026-03-21 01:23:03
Klau di pake buat sebulan aja boleh gk dok yg pake hidroquinon,klau di pake buat sebulan aja boleh gk dok yg pake hidroquinon,netral,Instagram,2026-04-19 00:41:03
Dok review ziyan glow,dok review ziyan glow,netral,TikTok,2026-04-15 11:23:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,Instagram,2026-03-30 01:06:03
"Jangan pernah berhenti meng edukasi kaum HAWA, tolong pak dokter, membeli produk Scancare dari Makassar, Soalnya banyak yg bermunculan produk2 Scancare baru, takutnya ntar merusak wajah kaum hawa dokter,terutama didaerah KABUPATEN DAN KOTAMADYA/PROVINSI. Memang sih tadinya BPOM, ntar kelanjutannya tinggal produk Abal Abal dokter. Mkasih sblumnya dokter",jangan pernah berhenti meng edukasi kaum hawa tolong pak dokter membeli produk scancare dari makassar soalnya banyak yg bermunculan produk2 scancare baru takutnya ntar merusak wajah kaum hawa dokterterutama didaerah kabupaten dan kotamadyaprovinsi memang sih tadinya bpom ntar kelanjutannya tinggal produk abal abal dokter mkasih sblumnya dokter,netral,TikTok,2026-04-04 21:10:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,Instagram,2026-04-13 10:36:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,X (Twitter),2026-03-26 03:50:03
whattdemi apa bikin slem dalam beberapa menit udh jadi aku bikin berjam2 baru selesai,whattdemi apa bikin slem dalam beberapa menit udh jadi aku bikin berjam2 baru selesai,netral,TikTok,2026-04-13 12:46:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,X (Twitter),2026-03-27 22:10:03
kak 44 ribuan mohon maap,kak 44 ribuan mohon maap,netral,TikTok,2026-04-06 08:44:03
sunscreen yg bagus utk kulit berjerawat yang gmn ya dok,sunscreen yg bagus utk kulit berjerawat yang gmn ya dok,positif,TikTok,2026-04-02 02:55:03
kak messi bikinin aku slime ya,kak messi bikinin aku slime ya,netral,X (Twitter),2026-03-26 19:59:03
​ @hmchannel9664 oh gitu... Klo memang niatnya bgtu... Parah si 😢, hmchannel9664 oh gitu klo memang niatnya bgtu parah si ,netral,TikTok,2026-04-03 11:50:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,TikTok,2026-03-27 05:36:03
10000000000,10000000000,netral,Instagram,2026-04-18 00:34:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,Instagram,2026-04-12 23:03:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,X (Twitter),2026-03-24 21:41:03
I miss this content 🔥🔥🔥,i miss this content ,netral,TikTok,2026-04-15 01:01:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-04-06 04:29:03
Yang bener alami aja orang dulu cantik nya alami ngga pernah macam- macam.,yang bener alami aja orang dulu cantik nya alami ngga pernah macam macam,netral,X (Twitter),2026-04-18 16:35:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,Instagram,2026-03-29 21:22:03
"Semoga doktif tetep sehat dan di beri umur panjang, doktif semangat ya... jgn lupa dok jalur langit tetep harus waspada , krn org ga suka tetep pakai cara halus😢 ilove you doktif",semoga doktif tetep sehat dan di beri umur panjang doktif semangat ya jgn lupa dok jalur langit tetep harus waspada  krn org ga suka tetep pakai cara halus ilove you doktif,positif,TikTok,2026-03-30 01:40:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,TikTok,2026-04-07 19:08:03
Rasanya tiap buka timeline ada aja drama baru dari dia,rasanya tiap buka timeline ada aja drama baru dari dia,netral,TikTok,2026-03-30 14:06:03
Gw tim doktif 🙌,gw tim doktif ,netral,X (Twitter),2026-04-12 16:31:03
Males lah.. sama semuanya 🤪🤪,males lah sama semuanya ,netral,Instagram,2026-04-03 06:16:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,X (Twitter),2026-03-26 06:46:03
"Bintang 5 pokoknya, scarlett emang gak pernah gagal.","bintang 5 pokoknya, scarlett emang gak pernah gagal.",positif,TikTok,2026-04-17 15:44:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,TikTok,2026-03-22 06:13:03
"Nyesel banget beli, katanya overclaim ya? Gak ngefek di aku.","nyesel banget beli, katanya overclaim ya? gak ngefek di aku.",negatif,X (Twitter),2026-03-27 01:09:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,X (Twitter),2026-04-02 22:55:03
btw 1 barang harganya 40ribuan ya perasaan mahal may kan cuma segitu,btw 1 barang harganya 40ribuan ya perasaan mahal may kan cuma segitu,netral,TikTok,2026-04-11 04:14:03
